F	W1	W2
68924.16832	0.000714442	-0.005756112
69479.70472	0.000717986	-0.005780917
70040.1437	0.000721408	-0.005805647
70605.35861	0.000724707	-0.005830303
71175.2226	0.000727882	-0.005854887
71749.6107	0.000730933	-0.0058794
72328.40057	0.00073386	-0.005903843
72911.47106	0.000736663	-0.005928217
73498.70209	0.000739341	-0.005952524
74089.97689	0.000741894	-0.005976766
74685.17704	0.000744322	-0.006000942
75284.19165	0.000746624	-0.006025054
75886.90512	0.0007488	-0.006049104
76493.20746	0.000750849	-0.006073091
77102.98931	0.000752773	-0.006097016
77716.14296	0.000754569	-0.006120875
78332.56101	0.000756238	-0.006144636
78952.61995	0.000757781	-0.006168694
79575.14151	0.000759196	-0.006192244
80200.73965	0.000760482	-0.006215848
80829.19579	0.000761641	-0.006239437
81460.41306	0.000762672	-0.006262971
82094.2943	0.000763574	-0.006286455
82730.74472	0.000764348	-0.006309887
83369.67016	0.000764993	-0.00633327
84010.98058	0.000765509	-0.006356603
84654.58439	0.000765897	-0.006379887
85300.39462	0.000766155	-0.006403123
85948.32304	0.000766284	-0.006426311
86598.28385	0.000766284	-0.006449454
87250.19154	0.000766155	-0.00647255
87903.96463	0.000765897	-0.006495601
88559.52087	0.000765509	-0.006518608
89216.77957	0.000764991	-0.00654157
89875.66133	0.000764344	-0.00656449
90536.09024	0.000763568	-0.006587367
91197.98866	0.000762662	-0.006610202
91861.2798	0.000761627	-0.006632996
92525.89157	0.000760463	-0.006655749
93191.7519	0.000759169	-0.006678461
93858.78674	0.000757747	-0.006701134
94526.92605	0.000756195	-0.006723768
95196.10186	0.000754514	-0.006746363
95866.24475	0.000752705	-0.006768921
96537.28738	0.000750766	-0.00679144
97209.16348	0.0007487	-0.006813923
97881.80849	0.000746505	-0.006836369
98555.15834	0.000744181	-0.006858778
99229.14777	0.00074173	-0.006881152
99903.71743	0.000739151	-0.006903491
100578.8057	0.000736445	-0.006925794
101254.3502	0.000733611	-0.006948063
101930.2922	0.00073065	-0.006970298
102606.574	0.000727562	-0.0069925
103283.1373	0.000724348	-0.007014668
103959.9258	0.000721008	-0.007036803
104636.8824	0.000717541	-0.007058905
105313.9527	0.000713949	-0.007080975
105991.0814	0.000710232	-0.007103013
106668.2168	0.00070639	-0.007125019
107345.3031	0.000702423	-0.007146994
108022.2907	0.000698332	-0.007168939
108699.1257	0.000694117	-0.007190852
109375.7597	0.000689778	-0.007212735
110052.1403	0.000685316	-0.007234588
110728.2205	0.000680731	-0.007256411
111403.9498	0.000676024	-0.007278204
112079.28	0.000671195	-0.007299968
112754.1642	0.000666245	-0.007321703
113428.5555	0.000661173	-0.007343409
114102.4064	0.00065598	-0.007365087
114775.6732	0.000650667	-0.007386736
115448.308	0.000645234	-0.007408357
116120.2701	0.000639681	-0.007429951
116791.5107	0.00063401	-0.007451516
117461.9892	0.00062822	-0.007473054
118131.6617	0.000622312	-0.007494565
118800.4858	0.000616286	-0.007516049
119468.4188	0.000610142	-0.007537506
120135.4195	0.000603882	-0.007558936
120801.4474	0.000597506	-0.00758034
121466.4591	0.000591014	-0.007601718
122130.4172	0.000584406	-0.007623069
122793.2805	0.000577684	-0.007644394
123455.0105	0.000570847	-0.007665694
124115.5676	0.000563896	-0.007686967
124774.9109	0.000556832	-0.007708216
125433.0066	0.000549655	-0.007729438
126089.8128	0.000542365	-0.007750636
126745.2939	0.000534963	-0.007771809
127399.412	0.00052745	-0.007792957
128052.1306	0.000519826	-0.00781408
128703.4127	0.000512091	-0.007835178
129353.2229	0.000504246	-0.007856252
130001.5248	0.000496292	-0.007877301
130648.2822	0.000488228	-0.007898326
131293.4609	0.000480056	-0.007919327
131937.0245	0.000471776	-0.007940304
132578.9402	0.000463388	-0.007961257
133219.172	0.000454893	-0.007982186
133857.6859	0.000446292	-0.008003091
134494.4475	0.000437584	-0.008023972
135129.4252	0.00042877	-0.008044831
135762.584	0.000419852	-0.008065665
136393.891	0.000410829	-0.008086476
137023.3123	0.000401701	-0.008107264
137650.8165	0.00039247	-0.008128028
138276.3699	0.000383135	-0.00814877
138899.9408	0.000373698	-0.008169488
139521.4973	0.000364158	-0.008190183
140141.0079	0.000354517	-0.008210856
140758.4377	0.000344774	-0.008231505
141373.7595	0.00033493	-0.008252132
141986.9395	0.000324986	-0.008272736
